;Ts_01_V4;Ts_02_V4;Ts_03_V4;Ts_04_V4;Ts_05_V4;Ts_06_V4;Ts_07_V4;Ts_08_V4;Ts_09_V4;Ts_10_V4;Ts_11_V4;Ts_12_V4;Ts_13_V4;Ts_14_V4;Ts_15_V4;Ts_16_V4;Ts_17_V4;Ts_18_V4;Ts_19_V4;Ts_20_V4;Ts_21_V4;Ts_22_V4;Ts_23_V4;Ts_24_V4;Ts_25_V4;Ts_26_V4;Ts_27_V4;Ts_28_V4;Ts_29_V4;Ts_30_V4;Ts_31_V4;Ts_32_V4;Ts_33_V4;Ts_34_V4;Ts_35_V4;Ts_36_V4;Ts_37_V4;main_01_V1;main_02_V1;main_03_V1;main_04_V1;main_05_V1;main_06_V1;main_07_V1;main_08_V1;main_09_V1;main_10_V1;main_11_V1;main_12_V1;main_13_V1;main_14_V1;main_15_V1;main_16_V1;main_17_V1;main_18_V1;main_19_V1;main_20_V1;main_21_V1;main_22_V1;main_23_V1;main_24_V1;main_25_V1;main_26_V1;main_27_V1;main_28_V1;main_29_V1;main_30_V1;main_31_V1;main_32_V1;main_33_V1
Ts_11_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.508802798973238;NA;NA;NA;NA;-0.670692917556161;NA;-0.509855551645939;-0.626606255624263;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_12_V4;NA;NA;NA;NA;0.844567121531247;NA;NA;0.689283453884618;NA;0.595865915165131;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.642302367642516;NA;NA;NA;NA;NA;NA;NA;NA;0.839373491456413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.714703576785776;NA;NA;NA;NA;NA;NA
Ts_13_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;0.681598545407737;NA;NA;NA;NA;NA;NA;0.840028754808773;NA;NA;NA;NA;NA;NA;NA;0.588808053000596;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.592675369195899;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.582387018250063;NA;NA;NA;NA
Ts_14_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.818659478757775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.544300751778368;NA;NA
Ts_15_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.681598545407737;NA;1;0.848956081817249;NA;NA;NA;NA;NA;0.868393652707835;0.575718260452412;NA;NA;NA;NA;NA;NA;0.83138881381535;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.50477042906811;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_16_V4;-0.570782225626686;NA;NA;NA;NA;NA;NA;NA;-0.529786501222151;NA;NA;NA;NA;NA;0.848956081817249;1;NA;NA;NA;NA;NA;0.747764189231524;0.850734354857883;NA;NA;NA;NA;NA;NA;0.877967359200444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.725165675132431;0.558187116221935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.593917776687389;NA;NA;NA;NA;NA;NA;NA;NA;0.621475795533989
Ts_17_V4;NA;NA;NA;NA;NA;NA;NA;NA;0.776984367615235;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.577150805163579;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.586418632948743;NA;NA;NA;NA;NA;0.558597939104061;NA;NA;0.508357825268158;NA;NA;NA;NA;NA;NA;NA
Ts_18_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.558143144480308;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_19_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;0.696671582920344;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.793248418537571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ts_20_V4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.650003867893498;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.683429588113169;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
